PWGTP,HISP,CIT,POWSP,RAC1P,SEX
75,2,5,6,8,1
77,2,1,6,8,1
53,1,4,6,6,1
23,1,1,1,1,2
60,1,1,6,1,1
78,1,3,6,1,1
79,1,1,6,1,1
80,1,5,4,6,2
91,1,4,4,6,1
15,1,1,4,1,1
76,1,1,1,1,1
63,1,1,1,1,2
54,1,1,6,1,1
61,1,1,6,9,1
105,1,1,6,1,1
114,1,1,6,2,1
66,1,1,4,1,1
52,1,1,4,1,2
87,1,1,4,1,1
129,1,5,6,6,2
384,1,4,6,1,2
63,2,1,6,1,2
69,1,1,4,1,1
64,1,1,4,1,2
56,1,1,4,1,1
57,1,1,4,1,2
67,7,4,6,1,2
84,1,1,6,1,1
61,1,1,4,1,1
69,1,1,4,1,2
68,1,1,4,1,1
68,1,4,4,1,2
66,1,1,6,1,2
78,1,1,6,1,1
67,1,4,6,6,2
63,1,4,6,6,1
71,1,1,6,1,1
81,7,4,6,8,2
79,7,1,6,1,2
129,1,1,2,4,1
90,1,1,2,4,2
130,1,1,1,1,1
172,1,1,1,1,2
102,1,4,6,6,1
84,1,4,6,6,2
43,1,1,1,1,2
69,1,4,6,1,2
108,1,3,6,1,1
145,1,1,6,1,2
197,1,1,6,1,1
46,2,1,6,1,2
46,2,1,6,1,1
49,2,1,6,1,2
67,1,1,6,1,2
86,1,1,6,1,2
86,1,1,6,1,2
80,1,1,6,1,2
48,1,1,6,1,2
33,1,1,4,3,2
61,1,1,6,1,1
15,1,1,1,1,2
55,1,1,4,1,2
102,1,1,4,1,2
73,1,1,6,2,1
78,1,1,1,1,1
105,1,4,6,6,2
151,1,1,6,6,1
134,1,1,4,1,1
101,2,5,6,8,1
105,2,1,6,8,2
39,1,1,6,2,1
94,2,1,6,8,2
89,1,4,6,7,2
76,1,1,6,7,1
131,11,4,6,1,2
107,1,1,4,1,1
198,2,1,4,8,1
45,1,1,5,1,1
145,1,1,4,1,2
385,1,1,6,1,1
52,1,5,6,1,1
15,1,1,1,1,1
12,1,1,1,1,2
107,2,4,6,8,1
329,1,5,6,6,1
557,1,1,6,6,2
32,1,1,6,1,1
113,1,1,6,1,1
157,1,1,6,1,2
46,1,1,1,1,1
100,1,5,6,6,1
30,1,1,2,1,1
63,1,5,6,6,2
71,1,5,6,6,1
133,2,1,6,1,1
235,2,1,6,1,2
61,1,1,6,3,2
147,1,1,6,1,1
36,1,1,5,1,1
78,1,1,6,2,2
63,1,1,6,2,2
104,1,1,6,2,2
114,2,5,6,1,1
62,2,4,6,8,1
67,2,1,6,8,2
90,2,1,6,8,1
75,1,1,6,1,2
147,1,1,1,2,2
64,1,1,6,1,2
32,19,4,6,8,1
50,1,1,5,1,2
34,1,1,5,1,1
82,1,1,6,1,1
177,1,1,1,1,2
65,1,1,6,1,1
66,1,1,6,1,2
131,1,1,4,1,1
193,1,1,6,1,1
62,1,1,6,1,2
209,1,4,6,1,2
201,1,4,6,1,1
59,1,4,6,1,1
46,8,4,6,1,2
98,8,1,6,1,1
30,1,1,5,1,2
69,1,4,6,6,2
98,1,1,6,6,1
78,1,3,6,1,1
68,1,1,6,1,2
86,1,1,6,1,1
103,1,4,4,2,1
107,1,1,4,1,2
194,1,1,4,2,1
92,1,1,6,1,1
104,1,1,6,1,2
