PWGTP,RAC1P,POWSP,HISP,SEX,CIT,WAOB,COW,SOCP
64,6,6,1,1,4,4,1,15113X
309,1,12,1,1,1,1,3,151121
52,6,6,1,2,4,4,1,151199
56,2,11,1,2,1,1,5,15113X
226,1,6,2,1,1,1,1,15113X
106,1,24,1,1,1,1,1,151121
408,1,6,1,1,1,1,1,151121
73,6,17,1,2,4,4,1,151131
82,1,53,1,1,1,1,2,151121
60,1,39,1,1,1,1,1,151199
71,1,19,1,1,1,1,1,15113X
140,1,25,8,1,4,3,1,151199
116,6,6,1,1,4,4,1,15113X
109,6,49,1,1,4,4,1,15113X
134,6,49,1,2,5,4,1,151121
75,1,37,1,1,1,1,1,151199
78,1,48,1,1,1,1,1,15113X
164,1,1,1,1,1,1,1,151131
57,1,12,1,1,1,1,1,151131
83,1,15,1,1,1,1,5,151199
102,6,48,1,2,4,4,1,15113X
55,1,48,1,1,1,1,1,151131
49,1,37,1,2,1,1,4,151142
177,1,13,1,2,1,1,1,151121
51,2,39,1,2,1,1,1,151199
319,1,37,1,1,1,1,2,172070
49,1,6,1,1,1,1,1,151150
81,1,18,1,1,1,1,2,151150
71,1,48,1,1,1,1,1,151121
59,1,12,1,1,1,1,1,172070
237,9,51,1,1,1,1,5,151199
94,6,6,1,1,1,1,1,172070
360,6,27,1,1,5,4,1,151131
122,6,27,1,2,5,4,1,15113X
74,1,4,1,1,1,1,1,172070
110,1,29,1,1,1,1,1,151143
67,1,36,1,1,4,7,6,15113X
113,1,32,1,1,1,1,1,151141
140,1,18,1,2,1,1,1,151142
143,1,42,1,1,1,1,1,172070
54,1,42,1,1,1,1,1,151199
32,2,37,1,1,4,6,1,151121
65,2,13,1,2,2,2,1,151134
69,1,25,1,1,1,1,1,15113X
269,1,8,2,2,1,1,5,151199
54,1,25,1,1,1,1,1,151131
73,1,17,1,2,4,5,1,15113X
112,1,44,1,1,1,1,1,15113X
111,1,51,1,1,1,1,1,151121
42,1,12,1,1,1,1,1,151150
142,6,6,1,1,1,1,2,151131
235,1,12,1,1,1,1,1,151134
74,1,6,1,2,1,1,1,151150
67,1,47,1,2,1,1,4,151122
67,1,51,1,1,4,5,1,15113X
60,6,25,1,1,4,4,1,151131
112,1,24,1,2,1,1,5,15113X
