PWGTP,HISP,POWSP,RAC1P,WAOB,CIT,SEX,SOCP
79,1,45,1,1,1,1,151150
75,17,6,1,3,4,1,151121
59,1,22,1,1,1,2,151131
93,1,48,6,4,4,1,151199
128,1,45,2,1,1,1,15113X
59,1,20,1,1,1,1,151121
74,1,8,2,6,4,1,151199
105,1,41,1,1,1,1,151142
95,1,37,1,1,1,1,151150
66,1,6,6,4,5,1,113021
108,1,23,1,1,1,2,151131
77,1,36,1,1,1,1,113021
80,1,21,1,1,1,1,151199
67,1,8,1,1,1,1,151150
15,1,26,1,1,1,1,151142
17,1,26,1,1,1,2,15113X
87,1,39,1,1,1,1,113021
67,1,13,1,1,1,1,15113X
149,1,13,1,1,1,1,151143
94,1,42,2,1,1,2,151131
83,1,6,6,1,1,1,15113X
80,1,6,1,1,1,1,151142
56,1,16,1,1,1,1,151142
104,1,25,1,1,1,1,15113X
23,1,16,1,1,1,1,151150
90,1,45,1,1,1,2,151199
93,1,25,1,1,1,1,151121
104,4,34,1,3,4,1,113021
71,1,53,6,4,4,1,151143
91,1,51,1,1,1,1,15113X
102,1,51,1,1,1,2,151121
88,1,47,1,1,1,1,113021
61,1,6,1,1,1,1,151131
233,1,6,1,5,4,1,15113X
119,1,53,1,1,1,1,151131
47,1,6,1,1,1,1,151142
65,1,12,1,5,5,1,15113X
57,1,4,1,1,1,2,151121
106,1,55,1,1,1,2,15113X
77,1,36,6,4,4,1,151199
95,1,6,6,4,5,1,15113X
71,1,39,1,1,1,1,151121
92,1,25,1,1,1,1,151111
300,1,36,1,1,1,1,15113X
88,1,25,1,1,1,1,151150
109,1,25,1,1,1,1,151150
102,1,22,1,1,1,1,15113X
66,1,13,2,6,4,1,113021
82,1,39,1,1,1,1,151121
217,1,36,6,4,5,1,151131
250,1,12,1,1,1,1,15113X
153,1,55,1,1,1,1,151141
243,1,17,1,1,1,1,151150
98,1,36,2,1,1,2,15113X
80,1,39,1,1,1,1,151150
282,1,47,1,1,1,1,151150
60,1,25,1,1,1,2,151150
223,1,6,6,4,4,1,172061
99,1,24,2,1,1,1,151142
68,2,48,1,1,1,2,151150
85,1,4,1,1,1,2,151199
70,1,6,1,1,1,1,151150
83,1,18,1,1,1,1,113021
103,1,51,1,1,1,2,151121
67,1,11,6,4,4,2,15113X
63,1,24,1,1,1,1,151121
136,1,26,2,1,1,2,151142
72,1,12,1,1,1,2,151150
125,4,36,1,3,4,1,113021
69,1,12,1,1,1,2,151121
66,1,6,1,1,1,1,15113X
81,1,53,1,1,1,1,151131
59,1,10,1,1,1,1,151142
104,1,17,6,4,5,2,15113X
127,1,55,1,1,1,1,113021
132,2,48,8,1,1,1,151143
53,1,40,9,1,1,2,151131
52,1,25,1,1,1,2,151150
236,1,34,1,1,1,1,151150
104,1,34,6,4,5,1,151141
280,1,13,1,1,1,1,113021
268,1,4,1,1,1,2,151150
74,1,11,1,1,1,1,113021
89,1,53,6,4,4,1,151150
74,1,37,1,1,1,1,113021
95,1,37,1,1,1,2,113021
108,1,17,1,1,1,1,113021
216,1,27,1,1,1,1,172061
108,1,11,1,1,1,1,113021
79,1,6,6,4,4,1,113021
23,1,1,1,1,1,1,151121
256,3,12,2,2,2,1,151199
82,1,6,1,5,4,1,15113X
104,1,36,1,1,1,1,151121
49,1,12,2,3,5,1,151150
77,1,12,1,1,1,2,151199
95,1,29,1,1,1,1,151131
122,1,39,1,1,1,1,113021
32,1,42,1,1,1,1,151131
85,1,24,1,1,1,1,151122
123,1,17,1,1,1,1,151121
331,1,11,2,1,1,1,151141
74,1,6,1,1,1,1,15113X
64,1,39,1,1,1,1,15113X
25,1,10,1,1,1,1,151199
65,1,34,6,4,4,1,172061
85,2,35,8,1,1,1,151142
112,1,46,1,1,1,1,151131
72,1,6,1,1,1,1,151131
19,1,5,1,1,1,1,15113X
106,1,36,1,1,1,1,113021
43,1,32,3,1,1,1,151150
91,1,17,1,1,1,1,151131
67,1,48,1,1,1,1,15113X
61,1,8,1,1,1,2,151131
25,1,26,1,1,1,1,151143
90,1,42,1,1,1,2,151199
61,1,53,1,1,1,1,15113X
69,1,6,1,1,1,1,151150
77,3,12,1,1,1,1,151150
83,1,24,1,1,1,2,151150
59,1,54,1,1,1,1,113021
107,1,53,1,1,1,1,151121
38,1,13,1,1,1,1,151143
64,1,45,1,1,1,1,113021
89,1,51,6,4,5,1,151121
118,1,29,1,1,1,2,151143
89,1,17,2,1,1,1,151134
296,1,40,1,1,1,1,151134
58,1,48,1,1,1,1,15113X
44,1,27,1,1,1,1,151121
286,1,48,1,1,1,1,151150
68,1,51,1,1,1,1,151142
165,1,36,2,1,1,1,151121
164,1,6,6,4,5,1,151143
62,1,47,1,1,1,1,113021
95,1,41,1,5,4,1,151121
86,1,4,1,1,1,1,113021
120,1,53,1,1,1,1,15113X
90,1,8,9,1,1,1,151142
247,1,9,6,1,1,1,15113X
92,1,36,6,4,5,2,15113X
100,1,6,2,1,1,1,15113X
66,1,11,1,1,1,2,151199
130,1,18,1,1,1,2,151150
175,1,20,1,1,1,2,151121
26,1,8,1,1,1,1,113021
23,1,8,1,1,1,2,113021
71,1,39,1,1,1,1,151131
67,1,11,1,1,1,1,151121
58,1,13,6,1,1,1,15113X
96,1,42,1,1,1,1,151141
304,1,8,1,1,1,1,151150
40,1,13,6,4,5,1,113021
79,1,24,1,1,1,1,15113X
113,1,13,1,1,1,1,113021
98,1,37,2,1,1,1,15113X
50,1,36,1,5,4,1,151121
91,1,20,1,1,1,1,151131
61,1,36,1,1,1,1,151143
27,1,33,1,1,1,2,151142
114,1,35,1,1,1,1,151131
91,1,13,1,1,1,1,151142
76,11,17,8,1,1,1,151143
105,1,42,6,4,5,1,15113X
111,1,26,1,1,1,1,151199
73,1,48,6,4,5,1,15113X
78,1,51,1,1,1,2,151142
88,1,45,1,1,1,1,151199
54,2,42,5,1,1,1,151199
