"","PWGTP","SEX","RAC1P","POWSP","HISP","SOCP"
"657","44","2","1","26","1","151199"
"658","269","1","1","12","4","151199"
"659","79","1","1","17","1","151141"
"660","116","1","1","21","1","151141"
"661","87","1","6","42","1","151150"
"662","85","1","1","6","1","15113X"
"663","68","1","1","25","1","151134"
"664","76","1","1","34","1","151150"
"665","45","1","2","37","1","151199"
"666","49","2","1","47","1","151199"
"667","153","1","6","6","1","15113X"
"668","160","2","6","6","1","151131"
"669","43","1","1","44","1","151143"
"670","51","2","1","48","1","151131"
"671","71","2","2","6","1","15113X"
"672","62","1","1","9","1","151141"
"673","60","1","1","12","1","151121"
"674","70","1","1","37","1","151150"
"675","549","1","1","51","1","151143"
"676","155","1","1","15","1","151131"
"677","69","1","1","24","1","172070"
"678","28","1","1","42","1","15113X"
"679","75","1","1","6","1","151199"
"680","36","1","1","25","1","15113X"
"681","198","1","1","6","1","151150"
"682","49","1","1","4","1","151141"
"683","259","2","8","55","1","151150"
"684","202","2","6","32","1","151121"
"685","82","1","6","48","1","15113X"
"686","77","1","1","6","1","151199"
"687","41","2","1","48","1","151199"
"688","108","1","1","48","1","15113X"
"689","39","1","6","6","1","172070"
"690","65","1","1","37","1","15113X"
"691","59","1","6","6","1","15113X"
"692","57","2","6","6","1","15113X"
"693","86","1","1","36","1","15113X"
"694","87","1","1","17","1","151131"
"695","109","1","1","13","1","15113X"
"696","58","1","1","48","1","151131"
"697","118","1","1","25","1","151121"
"698","42","1","1","20","1","15113X"
"699","139","1","1","17","1","151142"
"700","87","1","6","6","1","172061"
"701","412","1","1","32","1","15113X"
"702","82","1","1","48","1","151199"
"703","214","1","1","51","1","151131"
"704","141","1","6","34","1","15113X"
"705","115","1","6","25","1","151143"
"706","102","2","6","25","1","15113X"
"707","93","1","6","6","1","151134"
"708","40","1","1","24","1","151131"
"709","78","1","6","12","1","151134"
"710","72","2","1","51","1","151121"
"711","68","1","1","49","1","15113X"
"712","26","1","1","48","1","151121"
"713","144","1","1","8","1","15113X"
"714","88","1","1","19","1","151121"
"715","71","1","1","47","1","151121"
"716","49","1","1","36","1","15113X"
"717","115","2","1","37","1","151121"
"718","109","1","1","4","1","151134"
"719","59","1","1","48","1","151150"
"720","146","1","6","34","1","151199"
"721","115","1","1","47","1","151142"
"722","86","2","1","42","1","151150"
"723","144","1","6","34","1","151142"
"724","327","1","1","22","1","151199"
"725","64","1","1","41","1","151199"
"726","148","1","1","42","1","151121"
"727","74","1","6","53","1","15113X"
"728","176","1","1","55","1","15113X"
"729","305","1","2","29","1","151121"
"730","91","1","1","42","1","151134"
"731","14","1","1","42","1","151199"
"732","201","1","6","13","1","151131"
"733","60","1","1","6","1","151134"
"734","70","1","1","41","1","15113X"
"735","123","1","1","33","1","151131"
"736","75","2","1","33","1","151131"
"737","71","1","1","36","1","151134"
"738","99","2","1","31","1","172061"
"739","101","1","1","35","1","151150"
"740","127","1","1","40","1","151121"
"741","16","1","1","42","1","15113X"
"742","244","1","1","17","1","151143"
"743","65","1","6","6","1","151141"
"744","52","1","8","35","24","151150"
"745","113","1","1","53","1","15113X"
"746","95","1","1","6","1","15113X"
"747","54","1","1","6","1","151150"
"748","55","2","1","36","1","151131"
"749","101","1","6","39","1","151121"
"750","143","2","1","6","2","151199"
"751","65","1","1","24","1","151122"
"752","99","1","1","36","1","151142"
"753","69","1","6","36","1","151199"
"754","86","1","1","51","1","15113X"
"755","59","2","1","8","1","151131"
"756","63","1","9","6","1","151150"
"757","148","1","1","25","1","151199"
"758","100","2","1","29","1","151134"
"759","109","1","1","48","2","151150"
"760","11","1","1","1","1","151150"
"761","65","1","1","13","1","151199"
"762","37","1","1","34","13","151142"
"763","97","2","6","53","1","15113X"
"764","204","1","1","53","1","172070"
